Percentage Change,Item
1-4,Amulet Versus Undead
5,Anything Item
6-7,Beads of Force
8-14,Boccob's Blessed Book
15-16,Boots of the North
17-19,Boots of Varied Tracks
20,"Boots, Winged"
21-24,Bracers of Archery
25-26,Bracers of Brachiation
27-28,Chime of Interruption
29-30,Cloak of Arachnidia
31-34,Cloak of the Bat
35-36,Cyclocone
37-40,Dart of the Hornets' Nest
41-42,Deck of Illusions
43-44,Dicerion of Light & Darkness
45-47,Dust of Dryness
48-50,Dust of Illusion
51-54,Dust of Tracelessness
55-56,Egg of Desire
57-60,Egg of Reason
61-62,Egg of Shattering
63-65,Gem of Insight
66-68,Girdle of Dwarvenkind
69-76,Gidle of Many Pouches
77-79,Glvoes of Missile Snaring
80-83,Glvoes of Thievery
84-88,Hat of Difference
89-95,Hat of Disguise
96-100,Hat of Stupidity
