Percentage Change,Item
1-6,Candle of Invocation
7-8,Carpet of Flying
9-10,Censer Controlling Air Elementals
11,Censer of Summoning Hostile Air Elementals
12-13,Chime of Opening
14,Chime of Hunger
15-18,Cloak of Displacement
19-27,Cloak of Evlenkind
28-30,Cloak of Manta Ray
31-32,Cloak of Poisonousness
33-55,Cloak of Protection
56-60,Crystal Ball
61,Crystal Hypnosis Ball
62-63,Cube of Force
64-65,Cube of Frost Resistance
66-67,Cubic Gate
68-69,Daern's Instant Fortress
70-72,Decanter of Endless Water
73-76,Deck of Many Things
77,Drums of Deafening
78-79,Drums of Panic
80-85,Dust of Appearance
86-91,Dust of Disappearance
92,Dust of Sneezing and Choking
93,Efreeti Bottle
94,Eversmoking Bottle
95,Eyes of Charmiing
96-97,Eyes of the Eagle
98-99,Eyes of Minute Seeing
00,Eyes of Petrification
