Percentage Change,Item
1,Robe of the Archmagi
2-8,Robe of Blending
9,Robe of Eyes
10,Robe of Powerlessness
11,Robe of Scintillating Colors
12-19,Robe of Useful Items
20-25,Rope of Climbing
26-27,Rope of Constriction
28-31,Rope of Entanglement
32,Rug of Smothering
33,Rug of Welcome
34,Saw of Mighty Cutting
35,Scarab of Death
36-38,Scarab of Enraging Enemies
39-40,Scarab of Insanity
41-46,Scarab of Protection
47,Spade of Colossal Excavation
48,Sphere of Annihilation
49-50,Stone of Controlling Earth Elementals
51-52,Luckstone
53-54,Loadstone
55-57,Talisman of Pure Good
58,Talisman of the Sphere
59-60,Talisman of Ultimate Evil
61-66,Talisman of Zagy
67,Tome of Clear Thought
68,Tome of Leadership and Influence
69,Tome of Understanding
70-76,Trident of Fish Command
77-78,Trident of Submission
79-83,Trident of Warning
84-85,Trident of Yearning
86-87,Vacuous Grimoire
88-90,Well of Many Worlds
91-100,Wings of Flying
