  24.0826   35.2802 3
  24.0370   35.4060 2
  23.7775   35.2787 2
  23.6579   35.1689 2
  23.6255   35.1114 2
  23.4782   35.0044 2
  23.3333   34.9277 2
  23.1958   34.9409 2
  23.0655   35.0439 2
  22.9328   35.1167 2
  22.8323   35.2466 2
  22.7341   35.4061 2
  22.7183   35.5579 2
  22.6772   35.7419 2
  22.7414   35.8564 2
  22.7251   36.0081 2
  22.6812   36.1621 2
  22.6393   36.3458 2
  22.5907   36.4400 2
  22.4508   36.4218 2
  22.3341   36.3417 2
  22.1666   36.3260 2
  22.0629   36.4244 2
  21.9315   36.5250 2
  21.8807   36.5889 2
  21.8699   36.8286 2
  21.8272   37.0110 2
  21.7230   37.1087 2
  21.6799   37.2909 2
  21.6878   37.4094 2
  21.7822   37.5811 2
  21.8745   37.7233 2
  22.0143   37.7427 2
  22.1503   37.7027 2
  22.3433   37.6883 2
  22.5990   37.7890 2
  22.7224   37.9899 2
  22.8820   38.3387 2
  22.9459   38.4845 2
  22.9012   38.6678 2
  22.7947   39.2454 2
  22.7521   39.4882 2
  22.5436   39.7408 2
  22.4653   39.8354 2
  22.3912   40.0194 2
  22.3778   40.3195 2
  22.4254   40.7660 2
  22.3778   40.9482 2
  22.3300   41.1302 2
  22.1763   41.4370 2
  22.1301   41.6784 2
  22.1621   41.7966 2
  22.2227   41.9435 2
  22.3097   42.0594 2
  22.4764   42.0821 2
  22.6421   42.0749 2
  22.8588   41.9453 2
  22.9385   41.8516 2
  23.0733   41.7552 2
  23.1528   41.6613 2
  23.3437   41.5922 2
  23.4541   41.5871 2
  23.5369   41.5833 2
  23.6507   41.6688 2
  23.7367   41.7557 2
  23.9851   41.7447 2
  24.0944   41.7095 2
  24.1220   41.7082 2
  24.2600   41.7021 2
  24.3438   41.7288 2
  24.4575   41.8151 2
  24.4872   41.8747 2
  24.5732   41.9624 2
  24.6029   42.0221 2
  24.6315   42.0514 2
  24.6908   42.1709 2
  24.7224   42.2917 2
  24.6739   42.5071 2
  24.6767   42.5986 2
  24.7374   42.7795 2
  24.7943   42.8386 2
  24.9065   42.8958 2
  24.9676   43.1079 2
  24.9432   43.2311 2
  24.9164   43.2625 2
  24.9172   43.2931 2
  24.9508   43.5369 2
  24.9516   43.5675 2
  24.9551   43.7205 2
  24.9565   43.7817 2
  24.9316   43.9049 2
  24.8783   43.9981 2
  24.8520   44.0600 2
  24.7179   44.2392 2
  24.6424   44.8785 2
  24.6459   45.3343 2
  24.8684   45.6370 2
  25.3385   45.7873 2
  25.6424   45.7862 2
  25.8913   45.9388 2
  26.0845   45.9075 2
  26.3055   45.9378 2
  26.4713   45.9991 2
  26.5542   46.0607 2
  26.6922   46.4316 2
  26.7194   46.5863 2
  26.9122   46.7419 2
  27.1871   47.0229 2
  27.2970   47.1170 2
  27.4627   47.1185 2
  27.6282   47.1512 2
  27.7945   47.0590 2
  27.8504   46.9345 2
  27.8785   46.8409 2
  27.9623   46.5912 2
  28.0177   46.5289 2
  28.1009   46.3100 2
  28.0733   46.1534 2
  27.9904   46.0282 2
  27.7140   45.9349 2
  27.6032   45.7792 2
  27.5753   45.7170 2
  27.4915   45.4683 2
  27.4632   45.3439 2
  27.3515   45.1582 2
  27.2960   45.1276 2
  27.2132   45.1284 2
  27.0462   44.9749 2
  26.9902   44.8825 2
  26.8486   44.5436 2
  26.7923   44.4516 2
  26.7371   44.4525 2
  26.6523   44.2992 2
  26.6230   44.1761 2
  26.6212   44.0526 2
  26.6745   43.9279 2
  26.6704   43.6807 2
  26.6693   43.6189 2
  26.7499   43.4934 2
  26.7481   43.4006 2
  26.8585   43.3979 2
  26.9690   43.3952 2
  27.0818   43.5165 2
  27.1111   43.6089 2
  27.1950   43.6691 2
  27.2518   43.7611 2
  27.3638   43.8520 2
  27.5877   44.0343 2
  27.7262   44.0628 2
  27.8638   44.0290 2
  27.9448   43.9023 2
  28.0814   43.8056 2
  28.4085   43.5472 2
  28.6865   43.6350 2
  28.7428   43.6967 2
  28.7725   43.8221 2
  28.7755   44.0111 2
  28.7773   44.1371 2
  28.7518   44.2951 2
  28.7818   44.4836 2
  28.8381   44.5774 2
  28.9233   44.7970 2
  28.9236   44.8285 2
  28.9528   45.0176 2
  28.9536   45.1122 2
  29.0110   45.4591 2
  29.0663   45.4587 2
  29.1776   45.6162 2
  29.2337   45.9325 2
  29.2338   45.9642 2
  29.2338   45.9958 2
  29.0681   46.2487 2
  29.0127   46.4066 2
  28.9849   46.4697 2
  28.9296   46.5010 2
  28.8462   46.6584 2
  28.8185   46.6898 2
  28.7630   46.7525 2
  28.6213   47.3497 2
  28.6758   47.4449 2
  28.7026   47.5398 2
  28.7287   47.6978 2
  28.8662   47.7630 2
  28.9214   47.7639 2
  29.0320   47.7658 2
  29.1426   47.7676 2
  29.2255   47.7689 2
  29.5012   47.8371 2
  29.5579   47.7110 2
  29.5868   47.5843 2
  29.6156   47.4575 2
  29.6167   47.3304 2
  29.7012   47.1087 2
  29.7849   46.9823 2
  29.8967   46.7283 2
  30.0078   46.5696 2
  30.1742   46.3788 2
  30.3403   46.3474 2
  30.3957   46.1554 2
  30.3125   45.9633 2
  30.0624   45.5805 2
  29.9783   45.3577 2
  29.9497   45.1985 2
  29.9769   45.1345 2
  29.9751   44.9114 2
  29.9737   44.7520 2
  30.0554   44.6233 2
  30.0536   44.4638 2
  30.0520   44.3362 2
  30.0214   44.1134 2
  29.9628   43.8914 2
  29.9597   43.7001 2
  30.0139   43.6351 2
  30.0958   43.5692 2
  30.2041   43.4387 2
  30.2564   43.2774 2
  30.2834   43.2446 2
  30.4494   43.2399 2
  30.4771   43.2391 2
  30.5891   43.3001 2
  30.6727   43.3299 2
  30.7558   43.3276 2
  30.9470   43.1934 2
  31.0018   43.1595 2
  31.0565   43.1256 2
  31.2213   43.0560 2
  31.3321   43.0526 2
  31.3578   42.9547 2
  31.4373   42.7902 2
  31.4612   42.6274 2
  31.4304   42.4989 2
  31.4536   42.2051 2
  31.5053   41.9508 2
  31.5990   41.8094 2
  31.6102   41.5332 2
  31.6230   41.3259 2
  31.7169   41.2065 2
  31.8106   41.0870 2
  31.8423   40.8781 2
  31.7448   40.3766 2
  31.6815   40.2651 2
  31.6191   40.1767 2
  31.5176   40.0908 2
  31.3985   40.0519 2
  31.2803   40.0360 2
  31.1632   40.0430 2
  31.0275   40.0739 2
  30.9347   40.1935 2
  30.9013   40.3323 2
  30.9040   40.4006 2
  30.8695   40.5165 2
  30.8215   40.7927 2
  30.7874   40.9311 2
  30.7118   41.0031 2
  30.6564   41.0968 2
  30.5611   41.1695 2
  30.4884   41.3319 2
  30.4914   41.4226 2
  30.4748   41.5141 2
  30.3785   41.5636 2
  30.2997   41.5443 2
  30.1540   41.2790 2
  30.1524   41.2338 2
  30.2071   41.1181 2
  30.2413   40.9806 2
  30.2991   40.9551 2
  30.4146   40.9041 2
  30.5098   40.8312 2
  30.5650   40.7375 2
  30.6600   40.6644 2
  30.6956   40.5714 2
  30.7310   40.4784 2
  30.7673   40.4081 2
  30.7832   40.3161 2
  30.7999   40.2468 2
  30.8527   40.1069 2
  30.9103   40.0807 2
  30.9669   40.0317 2
  31.0030   39.9610 2
  31.0761   39.8423 2
  31.0730   39.7739 2
  31.0756   39.4077 2
  31.0346   38.9757 2
  30.8874   38.7804 2
  30.8069   38.7405 2
  30.7642   38.6751 2
  30.7141   38.4734 2
  30.7481   38.3795 2
  30.7742   38.1491 2
  30.7091   38.0401 2
  30.5800   37.8450 2
  30.5926   37.7299 2
  30.6413   37.5661 2
  30.7397   37.2605 2
  30.7518   37.1450 2
  30.7473   37.0768 2
  30.7400   36.7162 2
  30.6946   36.3555 2
  30.5627   36.1633 2
  30.4975   36.0788 2
  30.4145   36.0189 2
  30.1937   35.7005 2
  30.1264   35.5940 2
  29.9118   35.3674 2
  29.8832   35.2572 2
  29.8915   35.1203 2
  29.8626   35.0102 2
  29.8844   34.8038 2
  29.8202   34.7430 2
  29.8514   34.6488 2
  29.8960   34.4850 2
  29.9343   34.2535 2
  29.7917   33.7716 2
  29.6646   33.4700 2
  29.5198   33.3977 2
  29.4486   33.4745 2
  29.2800   33.5634 2
  29.2152   33.5037 2
  29.1093   33.4268 2
  29.0291   33.2115 2
  28.8969   33.0707 2
  28.6800   32.8737 2
  28.5222   32.8717 2
  28.3666   32.8917 2
  28.2178   32.9780 2
  28.1706   33.0958 2
  28.1751   33.1400 2
  28.1472   33.2552 2
  27.9830   33.3872 2
  27.9311   33.4605 2
  27.9203   33.5510 2
  27.8336   33.6728 2
  27.8463   33.8049 2
  27.7789   33.9241 2
  27.7093   34.0212 2
  27.6416   34.1401 2
  27.5328   34.2414 2
  27.3123   34.2001 2
  27.2159   34.0119 2
  27.2055   33.9025 2
  27.1928   33.7711 2
  27.1801   33.6399 2
  27.1629   33.4648 2
  27.0281   33.1050 2
  26.9307   33.1170 2
  26.9022   33.0321 2
  26.8475   32.8842 2
  26.8932   32.5688 2
  26.9251   32.4983 2
  26.8958   32.2519 2
  26.9144   32.0508 2
  27.0106   31.8393 2
  27.0116   31.6624 2
  27.0077   31.4419 2
  26.8703   31.0851 2
  26.8268   30.8703 2
  26.8583   30.7995 2
  26.8704   30.7315 2
  26.8193   30.6283 2
  26.7611   30.6366 2
  26.6884   30.6912 2
  26.6788   30.7808 2
  26.5381   30.7566 2
