Percentage Chance,Item,Number
1-8,Arrow +1,2:24
9-12,Arrow +2,2:16
13-14,Arrow +3,2:12
15,Arrow of Slaying,1
16-20,Axe +1,1
21-22,Axe +2,1
23,"Axe +2, Throwing",1
24,Axe +3,1
25-27,Battle Axe +1,1
28-32,Bolt +2,2:20
33-35,Bow +1,1
36,Crossbow of Accuracy,1
37,Crossbow of Distance,1
38,Crossbow of Speed,1
39-46,"Dagger +1, +2 vs creatures smaller than man-sized",1
47-50,"Dagger +2, +3 vs creatures larger than man-sized",1
51,Dagger of Venom,1
52-56,Flail +1,1
57-60,Hammer +1,1
61-62,Hammer +2,1
63,"Hammer +3, Dwarven Thrower",1
64,Hammer of Thunderbolts,1
65-67,Javelin +2,1
68-72,Mace +1,1
73-75,Mace +2,1
76,Mace of Disruption,1
77,Mace +4,1
78-80,Military Pick +1,1
81-83,Morning Star +1,1
84-88,Scimitar +2,1
89,Sling of Seeking +2,1
90-94,Spear +1,1
95-96,Spear +2,1
97,Spear +3,1
98-99,"Spear, Cursed Backbiter",1
100,Trident +3,1
